id,employee,hire_date,department,salary,bonus
893009,Lazaro Cast,11/30/2020,Marketing,"$103,185.96 ",$0.00
893010,Meade Fley,03/08/2021,Sales,"$126,080.85 ",$0.00
893011,Kliment Grassett,09/08/2020,Product Management,"$146,965.82 ",$0.00
893012,Jodie Lindsell,09/04/2021,Engineering,"$76,756.35 ","$84,431.99"
893013,Dotti Fillimore,03/01/2021,Accounting,"$96,328.34 ","$105,961.17"
893014,Dorelia Sommerled,01/06/2021,Business Development,"$133,230.55 ",$0.00
893015,Berkie Addeycott,02/28/2021,Accounting,"$118,977.32 ",$0.00
893016,Marcy Broome,08/03/2021,Product Management,"$101,730.12 ",$0.00
893017,Lyssa Greally,06/18/2021,Training,"$121,105.35 ",$0.00
893018,Keelia Chaundy,09/12/2020,Research and Development,"$89,657.43 ","$98,623.17"
893019,Nikola Dawes,06/14/2021,Sales,"$116,978.59 ",$0.00
893020,Eldon Sydes,02/18/2021,Support,"$65,483.33 ","$72,031.66"
893021,Maryanne Whitsey,07/01/2021,Human Resources,"$126,109.01 ",$0.00
893022,Vilhelmina Rennison,09/01/2021,Engineering,"$148,711.02 ",$0.00
893023,Pennie Wisher,05/10/2021,Sales,"$95,248.05 ","$104,772.86"
893024,Misti Gunnell,04/09/2021,Business Development,"$97,748.22 ","$107,523.04"
893025,Giffie Loudyan,04/23/2021,Support,"$142,210.93 ",$0.00
893026,Etty Spadaro,04/07/2021,Research and Development,"$129,351.64 ",$0.00
893027,Udall Arnaudi,04/09/2021,Training,"$77,458.78 ","$85,204.66"
893028,Zarah Hantusch,01/11/2021,Product Management,"$113,208.68 ",$0.00
893029,Pierson Marmion,08/03/2021,Training,"$99,666.54 ","$109,633.19"
893030,Dilly Lamacraft,06/04/2021,Marketing,"$136,773.98 ",$0.00
893031,Saul Visick,03/10/2021,Legal,"$64,896.11 ","$71,385.72"
893032,Genovera Hayland,09/01/2021,Services,"$132,449.87 ",$0.00
893033,Ivie Trowel,10/15/2020,Research and Development,"$108,316.03 ",$0.00
893034,Verene Kerin,11/22/2020,Legal,"$114,771.98 ",$0.00
893035,Edita Ionn,07/08/2021,Marketing,"$110,302.04 ",$0.00
893036,Ronalda Huguet,12/26/2020,Marketing,"$74,467.12 ","$81,913.83"
893037,Ramonda Trace,01/02/2021,Business Development,"$60,082.95 ","$66,091.25"
893038,Hermy Side,02/15/2021,Accounting,"$127,634.49 ",$0.00
893039,Gracie McCowen,01/26/2021,Business Development,"$128,930.27 ",$0.00
893040,Chicky Yakobovitz,06/05/2021,Engineering,"$84,747.46 ","$93,222.21"
893041,Danella O'Gready,10/10/2020,Sales,"$112,990.48 ",$0.00
893042,Dennie Mildmott,03/28/2021,Sales,"$110,996.31 ",$0.00
893043,Jorry Curle,10/29/2020,Business Development,"$143,858.35 ",$0.00
893044,Giusto Marriage,09/06/2021,Product Management,"$91,607.39 ","$100,768.13"
893045,Aggy Waszkiewicz,05/22/2021,Marketing,"$61,415.64 ","$67,557.20"
893046,Corri Kretchmer,04/24/2021,Support,"$132,953.22 ",$0.00
893047,Roscoe Bruyett,03/09/2021,Services,"$100,557.52 ",$0.00
893048,Orren Peverell,11/25/2020,Product Management,"$78,666.42 ","$86,533.06"
893049,Kippy O'Hearn,11/07/2020,Training,"$96,401.93 ","$106,042.12"
893050,Tansy Schwandermann,06/09/2021,Marketing,"$77,916.23 ","$85,707.85"
893051,Wade Hyder,06/12/2021,Business Development,"$74,733.21 ","$82,206.53"
893052,Violante Borzoni,01/10/2021,Business Development,"$57,787.11 ","$63,565.82"
893053,Ronica Biskupiak,07/04/2021,Support,"$102,010.02 ",$0.00
893054,Engracia Supple,04/26/2021,Business Development,"$97,352.10 ","$107,087.31"
893055,Mathias Boothe,04/30/2021,Sales,"$81,966.63 ","$90,163.29"
893056,Mylo Toombes,02/25/2021,Business Development,"$130,877.92 ",$0.00
893057,Austin Laite,11/23/2020,Legal,"$116,007.10 ",$0.00
893058,Myriam Parffrey,06/05/2021,Accounting,"$64,256.75 ","$70,682.43"
893059,Adelbert Botwright,09/18/2020,Human Resources,"$136,336.15 ",$0.00
893060,Job Deetlefs,09/26/2020,Product Management,"$70,532.82 ","$77,586.10"
893061,Rickey O'Caine,11/14/2020,Legal,"$94,557.57 ","$104,013.33"
893062,Prisca Merdew,09/24/2020,Support,"$119,404.40 ",$0.00
893063,Quincey Skeermor,02/25/2021,Business Development,"$148,848.68 ",$0.00
893064,Ursola Fitzsimon,01/03/2021,Legal,"$71,655.95 ","$78,821.55"
893065,Shane Western,11/27/2020,Sales,"$138,616.11 ",$0.00
893066,Dew Wilcocke,06/23/2021,Product Management,"$81,529.55 ","$89,682.51"
893067,Imojean Duley,11/20/2020,Services,"$105,820.69 ",$0.00
893068,Casandra Fall,12/23/2020,Marketing,"$70,411.76 ","$77,452.94"
893069,Annadiane Ikringill,01/20/2021,Engineering,"$104,151.40 ",$0.00
893070,Viviyan Tann,03/10/2021,Human Resources,"$133,296.88 ",$0.00
893071,Hazel Ornells,05/26/2021,Accounting,"$84,486.77 ","$92,935.45"
893072,Rudyard Smout,01/05/2021,Research and Development,"$103,830.31 ",$0.00
893073,Robin Diano,11/10/2020,Research and Development,"$140,589.75 ",$0.00
893074,Cloris Pringle,07/18/2021,Product Management,"$140,355.45 ",$0.00
893075,Shandie Drewe,12/12/2020,Support,"$114,911.93 ",$0.00
893076,Gaye Gregine,05/24/2021,Product Management,"$91,397.77 ","$100,537.55"
893077,Elmira Brizland,03/15/2021,Marketing,"$129,375.36 ",$0.00
893078,William Heardman,03/28/2021,Product Management,"$67,048.38 ","$73,753.22"
893079,Alyda Salzberg,01/02/2021,Marketing,"$124,755.17 ",$0.00
893080,Kimberley Hazley,03/24/2021,Training,"$93,737.05 ","$103,110.76"
893081,Thea Couzens,11/19/2020,Support,"$147,653.11 ",$0.00
893082,Valaria Wordsley,12/08/2020,Legal,"$122,383.74 ",$0.00
893083,Sheffy Steuhlmeyer,09/30/2020,Engineering,"$110,703.61 ",$0.00
893084,Laraine Wloch,02/24/2021,Support,"$90,254.87 ","$99,280.36"
893085,Jayme Arger,01/20/2021,Legal,"$109,237.06 ",$0.00
893086,Shayne Bennit,10/10/2020,Business Development,"$144,532.18 ",$0.00
893087,Gwennie Bayfield,03/13/2021,Research and Development,"$137,807.65 ",$0.00
893088,Nydia Clinch,03/20/2021,Human Resources,"$81,725.19 ","$89,897.71"
893089,Celle Newarte,05/11/2021,Sales,"$57,087.79 ","$62,796.57"
893090,Yves Acarson,05/31/2021,Research and Development,"$65,045.84 ","$71,550.42"
893091,Regen Peachment,03/27/2021,Engineering,"$99,903.34 ","$109,893.67"
893092,Kaia Whitebread,11/04/2020,Services,"$88,755.27 ","$97,630.80"
893093,Elwyn MacLaren,03/07/2021,Product Management,"$110,751.97 ",$0.00
893094,Lexy Gaunter,11/20/2020,Accounting,"$119,911.61 ",$0.00
893095,Aurilia Faires,06/16/2021,Human Resources,"$93,285.73 ","$102,614.30"
893096,Ceil Arndell,03/05/2021,Training,"$99,293.21 ","$109,222.53"
893097,Harwell Fedynski,10/30/2020,Marketing,"$134,792.36 ",$0.00
893098,Gunner Mainds,04/14/2021,Business Development,"$130,773.47 ",$0.00
893099,Teddy Mertin,09/03/2021,Services,"$62,599.72 ","$68,859.69"
893100,Valera Hindenburg,09/25/2020,Accounting,"$99,179.08 ","$109,096.99"
893101,Truda McIlwrath,11/20/2020,Accounting,"$116,323.22 ",$0.00
893102,Connor Drewry,07/06/2021,Human Resources,"$104,798.56 ",$0.00
893103,Illa O'Heaney,07/25/2021,Product Management,"$117,193.91 ",$0.00
893104,Calley Sifleet,07/12/2021,Support,"$111,663.86 ",$0.00
893105,Flem Dannell,04/23/2021,Support,"$59,021.03 ","$64,923.13"
893106,Noel Edinburgh,02/04/2021,Product Management,"$132,533.37 ",$0.00
893107,Blakeley Eastope,05/09/2021,Support,"$79,173.02 ","$87,090.32"
893108,Vasili Haskins,07/17/2021,Research and Development,"$100,714.16 ",$0.00
893109,Griswold Dono,04/13/2021,Training,"$129,078.91 ",$0.00
893110,Tirrell Lloyd-Williams,01/21/2021,Research and Development,"$62,104.46 ","$68,314.91"
893111,Gilberte Birtley,03/22/2021,Research and Development,"$117,158.25 ",$0.00
893112,Joaquin Meddemmen,03/08/2021,Marketing,"$65,263.69 ","$71,790.06"
893113,Linn Lexa,11/08/2020,Engineering,"$100,633.14 ",$0.00
893114,Nataline Avraham,05/15/2021,Product Management,"$66,460.58 ","$73,106.64"
893115,Karlie Di Ruggiero,10/04/2020,Sales,"$87,209.41 ","$95,930.35"
893116,Perle Bareford,04/25/2021,Accounting,"$72,972.49 ","$80,269.74"
893117,Letta Dearness,08/12/2021,Training,"$58,555.96 ","$64,411.56"
893118,Robbi Baroch,07/11/2021,Services,"$111,501.61 ",$0.00
893119,Layla Percifer,09/13/2020,Legal,"$119,530.42 ",$0.00
893120,Juli Obeney,04/10/2021,Marketing,"$110,666.91 ",$0.00
893121,Joyce Arkell,06/26/2021,Research and Development,"$93,316.34 ","$102,647.97"
893122,Sharl Bamb,04/19/2021,Product Management,"$132,338.35 ",$0.00
893123,Aldo Lemmer,08/24/2021,Legal,"$55,067.51 ","$60,574.26"
893124,Ariel Jiruca,05/26/2021,Human Resources,"$87,420.83 ","$96,162.91"
893125,Analiese Ind,03/20/2021,Product Management,"$97,495.68 ","$107,245.25"
893126,Gabriella Jakoubec,07/05/2021,Support,"$120,341.05 ",$0.00
893127,Caron Jendas,04/19/2021,Legal,"$137,328.09 ",$0.00
893128,Regine Broxholme,11/16/2020,Training,"$60,190.93 ","$66,210.02"
893129,Urban Ivankin,12/26/2020,Services,"$64,367.62 ","$70,804.38"
893130,Thomasa Habershaw,12/13/2020,Support,"$68,965.55 ","$75,862.11"
893131,Drucill Bartoszinski,09/22/2020,Engineering,"$61,432.08 ","$67,575.29"
893132,Mathilda Garman,03/12/2021,Human Resources,"$145,644.82 ",$0.00
893133,Jaye Cannan,05/07/2021,Marketing,"$62,317.51 ","$68,549.26"
893134,Sharon McKaile,06/01/2021,Sales,"$68,999.57 ","$75,899.53"
893135,Codie Blastock,07/06/2021,Human Resources,"$115,655.95 ",$0.00
893136,Marion Navarijo,04/28/2021,Product Management,"$101,252.61 ",$0.00
893137,Alford Spreag,09/20/2020,Legal,"$129,926.76 ",$0.00
893138,Evita Hamments,01/07/2021,Sales,"$123,200.23 ",$0.00
893139,Cart Camber,03/29/2021,Product Management,"$94,987.69 ","$104,486.46"
893140,Harald O'Conor,07/07/2021,Accounting,"$132,846.49 ",$0.00
893141,Rosabelle Trenbey,12/27/2020,Product Management,"$56,863.69 ","$62,550.06"
893142,Lorne Orpen,04/17/2021,Sales,"$97,332.82 ","$107,066.10"
893143,Maria Harrod,11/28/2020,Accounting,"$91,663.23 ","$100,829.55"
893144,Darcy Valois,08/28/2021,Training,"$82,621.50 ","$90,883.65"
893145,Salim Knotton,01/18/2021,Human Resources,"$122,428.53 ",$0.00
893146,Arnoldo Crysell,06/22/2021,Support,"$85,295.89 ","$93,825.48"
893147,Katherine Bromige,01/09/2021,Research and Development,"$119,716.39 ",$0.00
893148,Beale Enticott,03/11/2021,Marketing,"$55,852.78 ","$61,438.06"
893149,Dorella Gindghill,11/15/2020,Services,"$65,464.05 ","$72,010.46"
893150,Julita Larciere,02/18/2021,Product Management,"$122,743.88 ",$0.00
893151,Jess Walrond,06/21/2021,Marketing,"$130,888.91 ",$0.00
893152,Derby Glading,03/07/2021,Engineering,"$88,793.07 ","$97,672.38"
893153,Loretta Jordan,05/07/2021,Engineering,"$92,749.41 ","$102,024.35"
893154,Darcie Ianniello,12/24/2020,Training,"$113,999.85 ",$0.00
893155,Eamon Arbuckel,04/10/2021,Services,"$93,781.64 ","$103,159.80"
893156,Andrew Labbe,11/13/2020,Engineering,"$129,359.19 ",$0.00
893157,Samson Woodhead,08/01/2021,Support,"$58,140.80 ","$63,954.88"
893158,Clyde Currie,10/13/2020,Product Management,"$127,982.11 ",$0.00
893159,Foss Chesworth,07/20/2021,Product Management,"$70,527.33 ","$77,580.06"
893160,Arney Stronach,04/26/2021,Human Resources,"$73,121.31 ","$80,433.44"
893161,Jilly Espinho,06/14/2021,Sales,"$124,955.62 ",$0.00
893162,Nicoli Alldridge,04/10/2021,Research and Development,"$101,880.18 ",$0.00
893163,Giselbert Rowntree,10/08/2020,Sales,"$104,608.23 ",$0.00
893164,Ranice Bradnocke,02/15/2021,Sales,"$63,904.33 ","$70,294.76"
893165,Hynda Brumham,08/31/2021,Business Development,"$143,197.50 ",$0.00
893166,Josephina Duding,10/30/2020,Human Resources,"$103,650.85 ",$0.00
893167,Dalila Southern,10/25/2020,Legal,"$135,081.74 ",$0.00
893168,Chrisse Hulkes,06/06/2021,Support,"$139,219.27 ",$0.00
893169,Jamill Overton,10/21/2020,Business Development,"$108,539.87 ",$0.00
893170,Lisabeth Lesmonde,02/24/2021,Support,"$140,004.67 ",$0.00
893171,Pierrette Oldam,10/22/2020,Product Management,"$144,262.62 ",$0.00
893172,Tera Fayers,06/12/2021,Services,"$71,824.57 ","$79,007.03"
893173,Sayer Fernandes,09/07/2021,Product Management,"$137,701.61 ",$0.00
893174,Hurlee Tenniswood,11/02/2020,Research and Development,"$61,439.96 ","$67,583.96"
893175,Ricardo Yurocjhin,06/21/2021,Business Development,"$102,837.18 ",$0.00
893176,Shirlee Rustan,10/11/2020,Support,"$128,397.33 ",$0.00
893177,Andy Marple,03/07/2021,Human Resources,"$88,537.83 ","$97,391.61"
893178,Merissa Jepp,03/27/2021,Product Management,"$97,229.73 ","$106,952.70"
893179,Denise Huffer,11/27/2020,Sales,"$60,281.32 ","$66,309.45"
893180,Sharia Toleman,03/27/2021,Sales,"$137,478.15 ",$0.00
893181,Latisha Found,11/19/2020,Research and Development,"$105,756.84 ",$0.00
893182,Britt Mellsop,12/04/2020,Services,"$119,095.95 ",$0.00
893183,Robenia Byrom,11/17/2020,Business Development,"$68,113.09 ","$74,924.40"
893184,Judie Peizer,10/05/2020,Marketing,"$120,113.18 ",$0.00
893185,Lisetta Leadbetter,09/24/2020,Human Resources,"$133,832.78 ",$0.00
893186,Ruben Shiels,02/16/2021,Human Resources,"$66,276.57 ","$72,904.23"
893187,Sue Tutchings,05/15/2021,Legal,"$117,747.72 ",$0.00
893188,Emmy Purviss,04/03/2021,Accounting,"$103,010.75 ",$0.00
893189,Ellyn Frampton,06/18/2021,Business Development,"$65,440.12 ","$71,984.13"
893190,Bondon Rogier,02/26/2021,Training,"$87,794.21 ","$96,573.63"
893191,Chiquita Peret,01/04/2021,Product Management,"$55,749.71 ","$61,324.68"
893192,Hyacinthe Daviddi,04/19/2021,Support,"$115,677.34 ",$0.00
893193,Vonny Cabral,03/07/2021,Business Development,"$123,124.38 ",$0.00
893194,Ham Durrell,07/07/2021,Research and Development,"$113,438.58 ",$0.00
893195,Dana Poxon,04/16/2021,Human Resources,"$145,703.22 ",$0.00
893196,Barbey Hegley,11/11/2020,Research and Development,"$118,709.55 ",$0.00
893197,Adelina Margaret,07/16/2021,Human Resources,"$109,157.98 ",$0.00
893198,Pamela Head,03/31/2021,Training,"$132,526.49 ",$0.00
893199,Maren Zanotti,08/05/2021,Marketing,"$63,317.15 ","$69,648.87"
893200,Karon Reubel,07/20/2021,Legal,"$94,429.68 ","$103,872.65"
893201,Nappy Greenwell,04/27/2021,Support,"$147,073.98 ",$0.00
893202,Freddie Greaterex,11/07/2020,Accounting,"$135,325.95 ",$0.00
893203,Verena Rospars,05/22/2021,Marketing,"$60,616.00 ","$66,677.60"
893204,Stillmann Lavens,04/25/2021,Product Management,"$83,404.82 ","$91,745.30"
893205,Gran Jukubczak,12/25/2020,Support,"$121,170.86 ",$0.00
893206,Theodora Klas,05/11/2021,Engineering,"$79,661.52 ","$87,627.67"
893207,Trever Pendlebury,12/14/2020,Research and Development,"$96,315.53 ","$105,947.08"
893208,Julietta Wiggington,05/27/2021,Sales,"$95,566.81 ","$105,123.49"
893209,Kristi Neeve,10/10/2020,Human Resources,"$96,860.70 ","$106,546.77"
893210,Yorker Clemson,07/03/2021,Marketing,"$149,784.51 ",$0.00
893211,Gasper Youell,02/28/2021,Engineering,"$96,570.60 ","$106,227.66"
893212,Vince Whylie,01/16/2021,Training,"$141,727.72 ",$0.00
893213,Damita Tidswell,11/14/2020,Product Management,"$108,714.58 ",$0.00
893214,Shermie Smeaton,10/12/2020,Services,"$56,026.56 ","$61,629.22"
893215,Bettye Pinke,03/29/2021,Marketing,"$85,676.41 ","$94,244.05"
893216,Judy Dumke,05/17/2021,Legal,"$124,859.65 ",$0.00
893217,Rozele Ordemann,04/08/2021,Engineering,"$111,194.14 ",$0.00
893218,Deloria Senter,07/29/2021,Research and Development,"$95,310.65 ","$104,841.72"
893219,Marten MacDuff,03/25/2021,Legal,"$102,698.76 ",$0.00
893220,Frazier Peete,10/13/2020,Accounting,"$138,587.69 ",$0.00
893221,Marmaduke Reed,10/25/2020,Product Management,"$131,092.31 ",$0.00
893222,Klarika Meron,08/31/2021,Product Management,"$102,606.28 ",$0.00
893223,Aurora Playhill,12/14/2020,Training,"$123,579.21 ",$0.00
893224,Martguerita Burkman,08/31/2021,Business Development,"$142,884.00 ",$0.00
893225,Franny Woolland,07/11/2021,Human Resources,"$85,294.89 ","$93,824.38"
893226,Filmer Silber,04/02/2021,Product Management,"$86,936.74 ","$95,630.41"
893227,Cally Ruben,10/19/2020,Training,"$105,513.05 ",$0.00
893228,Dotti Djokic,01/31/2021,Marketing,"$88,197.60 ","$97,017.36"
893229,Toinette Mc Ilwrick,03/30/2021,Training,"$127,174.08 ",$0.00
893230,Dale Berard,08/05/2021,Training,"$118,510.25 ",$0.00
893231,Lannie Keelin,05/18/2021,Research and Development,"$63,051.51 ","$69,356.66"
893232,Maddy Mc Andrew,06/07/2021,Support,"$55,030.27 ","$60,533.30"
893233,Sutherlan Risley,01/14/2021,Sales,"$56,866.32 ","$62,552.95"
893234,Suzanne Runciman,04/17/2021,Marketing,"$95,762.92 ","$105,339.21"
893235,Bobbye Waterfall,07/30/2021,Legal,"$132,567.28 ",$0.00
893236,Glennie Sweetzer,10/20/2020,Research and Development,"$91,979.91 ","$101,177.90"
893237,Christian Calam,04/11/2021,Marketing,"$83,813.20 ","$92,194.52"
893238,Jere Stilwell,11/13/2020,Human Resources,"$141,899.64 ",$0.00
893239,Pattie Hynd,04/29/2021,Services,"$83,060.79 ","$91,366.87"
893240,Amalia Dammarell,05/16/2021,Accounting,"$111,837.35 ",$0.00
893241,Doris Meany,02/06/2021,Support,"$130,036.54 ",$0.00
893242,Ilyssa Jorgensen,03/21/2021,Product Management,"$108,649.06 ",$0.00
893243,Harlene Roseby,05/14/2021,Engineering,"$126,672.37 ",$0.00
893244,Happy Pedroni,09/22/2020,Legal,"$135,569.76 ",$0.00
893245,Dahlia Elijah,03/18/2021,Engineering,"$132,394.20 ",$0.00
893246,Boy Filipowicz,05/06/2021,Accounting,"$80,311.29 ","$88,342.42"
893247,Rem Rogerot,07/03/2021,Human Resources,"$122,462.87 ",$0.00
893248,Lorry Blankett,05/12/2021,Services,"$77,624.35 ","$85,386.79"
893249,Lucita Cranage,04/20/2021,Engineering,"$130,248.10 ",$0.00
893250,Chan Kilminster,06/24/2021,Legal,"$100,707.21 ",$0.00
893251,Georgy Guilloud,10/29/2020,Marketing,"$81,480.97 ","$89,629.07"
893252,Isiahi Gather,12/19/2020,Business Development,"$145,265.03 ",$0.00
893253,Aveline Swannie,10/04/2020,Support,"$81,887.56 ","$90,076.32"
893254,Kristan Hartropp,07/01/2021,Sales,"$62,097.90 ","$68,307.69"
893255,Stavro Mordon,08/15/2021,Services,"$82,398.80 ","$90,638.68"
893256,Kendre Seebert,06/14/2021,Accounting,"$86,948.36 ","$95,643.20"
893257,Estele Doumenc,03/01/2021,Human Resources,"$125,321.80 ",$0.00
893258,Gabrielle Binne,04/27/2021,Research and Development,"$120,035.91 ",$0.00
893259,Archibaldo Dunbar,05/13/2021,Accounting,"$145,372.14 ",$0.00
893260,Vinny Murtagh,07/22/2021,Services,"$110,755.10 ",$0.00
893261,Joelly Derisley,02/26/2021,Services,"$108,214.01 ",$0.00
893262,Charley Menier,09/05/2021,Product Management,"$78,024.89 ","$85,827.38"
893263,Marya Sheering,10/31/2020,Human Resources,"$105,037.52 ",$0.00
893264,Agatha Emerson,11/19/2020,Research and Development,"$92,170.79 ","$101,387.87"
893265,Wallache Whittlesey,12/13/2020,Research and Development,"$128,598.24 ",$0.00
893266,Kinnie Barbour,11/25/2020,Marketing,"$97,272.13 ","$106,999.34"
893267,Hanan Bru,10/05/2020,Research and Development,"$81,453.82 ","$89,599.20"
893268,Jacobo Jenks,04/10/2021,Human Resources,"$148,245.01 ",$0.00
893269,Rudiger Bruggen,01/18/2021,Research and Development,"$69,464.72 ","$76,411.19"
893270,Hubie Gaenor,06/05/2021,Support,"$90,863.83 ","$99,950.21"
893271,Goldi Littlewood,03/30/2021,Support,"$124,660.79 ",$0.00
893272,Izaak Jayume,11/29/2020,Engineering,"$113,546.13 ",$0.00
893273,Brandise O'Fallone,12/17/2020,Product Management,"$114,320.45 ",$0.00
893274,Berton Dericot,07/12/2021,Business Development,"$101,132.02 ",$0.00
893275,Sal Giottoi,06/15/2021,Legal,"$146,104.66 ",$0.00
893276,Dalila Zannetti,07/09/2021,Product Management,"$72,373.91 ","$79,611.30"
893277,Miguela Knagges,06/18/2021,Sales,"$127,247.58 ",$0.00
893278,Beatrix Cainey,01/23/2021,Sales,"$119,178.18 ",$0.00
893279,Lianna Mallord,04/15/2021,Accounting,"$59,912.53 ","$65,903.78"
893280,Lucais Castelin,11/04/2020,Research and Development,"$101,547.33 ",$0.00
893281,Marinna Seago,11/20/2020,Services,"$88,689.46 ","$97,558.41"
893282,Harlene Tolossi,10/05/2020,Accounting,"$114,935.83 ",$0.00
893283,Prentiss Smaling,06/03/2021,Research and Development,"$97,361.25 ","$107,097.38"
893284,Raddie Boothby,08/03/2021,Human Resources,"$76,490.48 ","$84,139.53"
893285,Olivette Orrocks,03/12/2021,Support,"$101,874.57 ",$0.00
893286,Lainey Crimp,07/20/2021,Services,"$102,728.04 ",$0.00
893287,Lilas Garret,05/28/2021,Sales,"$72,201.50 ","$79,421.65"
893288,Xenia Meran,08/16/2021,Accounting,"$120,555.31 ",$0.00
893289,Tana Brandoni,12/21/2020,Engineering,"$58,973.48 ","$64,870.83"
893290,Augie Mumm,04/10/2021,Training,"$108,045.36 ",$0.00
893291,Rosamond Gilligan,12/11/2020,Accounting,"$78,922.47 ","$86,814.72"
893292,Alidia Shufflebotham,03/14/2021,Accounting,"$132,427.61 ",$0.00
893293,Joey Dunderdale,11/07/2020,Product Management,"$56,540.82 ","$62,194.90"
893294,Waylon Miranda,10/07/2020,Business Development,"$87,487.52 ","$96,236.27"
893295,Marybeth Dunbobin,12/18/2020,Support,"$90,731.87 ","$99,805.06"
893296,Katey Tincey,11/10/2020,Research and Development,"$118,651.09 ",$0.00
893297,Rosaleen Ajean,12/31/2020,Engineering,"$133,497.83 ",$0.00
893298,Ganny Gavrieli,09/08/2020,Accounting,"$56,313.52 ","$61,944.87"
893299,Brewer Gardner,05/30/2021,Marketing,"$144,246.80 ",$0.00
893300,Karol Ratie,02/27/2021,Research and Development,"$110,045.77 ",$0.00
893301,Lois Clausius,10/27/2020,Sales,"$55,317.78 ","$60,849.56"
893302,Burl Warfield,09/29/2020,Training,"$86,418.00 ","$95,059.80"
893303,Ernst Goade,02/24/2021,Business Development,"$81,844.12 ","$90,028.53"
893304,Bruis Creak,11/08/2020,Product Management,"$140,741.64 ",$0.00
893305,De Dudden,07/14/2021,Engineering,"$57,009.41 ","$62,710.35"
893306,Ottilie Strawbridge,10/18/2020,Accounting,"$96,731.13 ","$106,404.24"
893307,Newton Clee,11/03/2020,Engineering,"$93,731.14 ","$103,104.25"
893308,Allison Ilive,10/08/2020,Business Development,"$59,851.25 ","$65,836.38"
893309,Kincaid Isakovitch,11/28/2020,Human Resources,"$70,471.05 ","$77,518.16"
893310,Mycah Deeks,09/16/2020,Services,"$79,609.36 ","$87,570.30"
893311,Job Tomeo,02/13/2021,Services,"$142,505.54 ",$0.00
893312,Gladys Pauletto,10/23/2020,Business Development,"$127,128.12 ",$0.00
